settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased
6221566361						Order	114-9540361-6176204	114-9540361-6176204		DzF5rhSCH	Amazon.com	ItemFees	Commission	-1.2	AFN	2016-11-18	2016-11-18 17:43:56 UTC	15238580538242			3N-ND1U-OAKS	1
6221566361						Order	107-4635058-6293065	107-4635058-6293065		D5WbB2DGH	Amazon.com	ItemPrice	Principal	13.99	AFN	2016-11-18	2016-11-18 16:29:26 UTC	21716555580890			M2-Q0FT-J8PU	1
6221566361						Order	107-4635058-6293065	107-4635058-6293065		D5WbB2DGH	Amazon.com	ItemFees	FBAPerOrderFulfillmentFee	-1	AFN	2016-11-18	2016-11-18 16:29:26 UTC	21716555580890			M2-Q0FT-J8PU	1
6221566361						Order	107-4635058-6293065	107-4635058-6293065		D5WbB2DGH	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-1.06	AFN	2016-11-18	2016-11-18 16:29:26 UTC	21716555580890			M2-Q0FT-J8PU	1
6221566361						Order	107-4635058-6293065	107-4635058-6293065		D5WbB2DGH	Amazon.com	ItemFees	FBAWeightBasedFee	-1.66	AFN	2016-11-18	2016-11-18 16:29:26 UTC	21716555580890			M2-Q0FT-J8PU	1
6221566361						Order	107-4635058-6293065	107-4635058-6293065		D5WbB2DGH	Amazon.com	ItemFees	Commission	-2.1	AFN	2016-11-18	2016-11-18 16:29:26 UTC	21716555580890			M2-Q0FT-J8PU	1
6221566361						Order	102-3401300-1093835			D4h1G4f1N	Amazon.com	ItemPrice	Principal	12.46	MFN	2016-11-18	2016-11-18 09:06:53 UTC	57207283040466			AXM1-KLMT-XM04	1
6221566361						Order	102-3401300-1093835			D4h1G4f1N	Amazon.com	ItemFees	Commission	-1.87	MFN	2016-11-18	2016-11-18 09:06:53 UTC	57207283040466			AXM1-KLMT-XM04	1
6221566361						Order	109-7268947-8856204			DxBbtjfpN	Amazon.com	ItemPrice	Principal	3.99	MFN	2016-11-18	2016-11-18 09:06:52 UTC	11327496654474			LJXM-0713-L132	1
6221566361						Order	109-7268947-8856204			DxBbtjfpN	Amazon.com	ItemFees	Commission	-1	MFN	2016-11-18	2016-11-18 09:06:52 UTC	11327496654474			LJXM-0713-L132	1
