seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
YH-BYN7SC010A16	B01N6SJ6EI	B01N6SJ6EI	NewItem	SELLABLE	0
YH-BYN6AC030N04	B01LZXN1DZ	B01LZXN1DZ	NewItem	SELLABLE	25
YH-BY483452G293	B01LATU1F8	B01LATU1F8	NewItem	SELLABLE	0
YH-BYN6AA003NW4	B01N4HQGPQ	B01N4HQGPQ	NewItem	SELLABLE	30
YH-BYN6AC025BP4	B01LY95BFF	B01LY95BFF	NewItem	SELLABLE	17
YH-BYN6AS018A24	B01M3Z0XUY	B01M3Z0XUY	NewItem	SELLABLE	31
YH-BYN6AS018A24	B01M3Z0XUY	B01M3Z0XUY	NewItem	UNSELLABLE	1
YH-BYN6AW017BW2	B01LYKWD49	B01LYKWD49	NewItem	SELLABLE	1
YH-BYE6QK005A31	B01M0LEQ14	B01M0LEQ14	NewItem	SELLABLE	257
YH-BY48346753F4	B01LATTY5G	B01LATTY5G	NewItem	SELLABLE	1
YH--BYN6AS012NA3	B01LY5QLUC	B01LY5QLUC	NewItem	SELLABLE	16
YH-BYN6AA018BO4	B01MFI3MH5	B01MFI3MH5	NewItem	SELLABLE	35
YH-BYN6AH021A35	B01MFGZJEZ	B01MFGZJEZ	NewItem	SELLABLE	50
YH-BYN6AH021A35	B01MFGZJEZ	B01MFGZJEZ	NewItem	UNSELLABLE	1
CL-BYN6AC001B35	B01JODSTQU	B01JODSTQU	NewItem	SELLABLE	47
YH-BYN7SC010A14	B01N242J0W	B01N242J0W	NewItem	SELLABLE	0
YH-BYN7SC004RA6	B01N5PHPH6	B01N5PHPH6	NewItem	SELLABLE	50
YH-BYN6AC034GO3	B01MQCWC5X	B01MQCWC5X	NewItem	SELLABLE	27
YH-BY483492EA9S	B01LX8HJJ3	B01LX8HJJ3	NewItem	SELLABLE	0
YH-BY483492EA9S	B01LX8HJJ3	B01LX8HJJ3	NewItem	UNSELLABLE	1
YH-BYN6AA003G32	B01LWIXWVR	B01LWIXWVR	NewItem	SELLABLE	19
YH-BY4834E5Q627	B01LY7LYHU	B01LY7LYHU	NewItem	SELLABLE	0
YH-BYN6AS019A24	B01N3KYUAO	B01N3KYUAO	NewItem	SELLABLE	34
